Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015,2016
Afghanistan,AFG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.7,6.3,5.1,4.8,4.7
Angola,AGO,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,7.9,7.2,5.7,5.0,4.7
Albania,ALB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.5,6.7,7.8,6.0,6.3
Arab World,ARB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.3,4.3,4.2,4.2,4.3
United Arab Emirates,ARE,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,3.2,3.1,3.0,2.8,2.8
Argentina,ARG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,9.5,9.0,8.7,8.8,9.2
Armenia,ARM,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,3.3,4.4,6.0,7.0,6.6
Antigua and Barbuda,ATG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.0,1.2,0.3,0.8,0.5
Australia,AUS,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,13.2,12.3,12.5,13.8,13.2
Austria,AUT,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,20.0,17.3,16.0,16.0,15.6
Azerbaijan,AZE,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.2,3.2,3.1,2.7,2.6
Burundi,BDI,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,7.1,8.4,9.0,8.9,9.1
Belgium,BEL,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,22.7,21.2,21.3,20.1,20.7
Benin,BEN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,9.5,9.7,9.6,9.9,9.9
Burkina Faso,BFA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,8.2,7.6,7.5,7.7,7.7
Bangladesh,BGD,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.7,6.3,6.4,6.1,5.9
Bulgaria,BGR,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,18.5,13.4,12.5,11.4,11.5
Bahrain,BHR,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.7,7.0,5.2,5.9,5.9
"Bahamas, The",BHS,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.0,2.2,2.0,1.8,1.7
Bosnia and Herzegovina,BIH,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,10.7,9.3,8.0,8.9,8.8
Belarus,BLR,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,43.1,45.1,38.2,26.3,26.2
Belize,BLZ,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.5,4.9,4.9,4.8,4.7
Bolivia,BOL,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,16.4,15.3,14.1,12.4,12.2
Brazil,BRA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.8,5.5,5.7,6.5,6.5
Barbados,BRB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.1,3.7,2.1,0.7,0.8
Brunei Darussalam,BRN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.8,3.3,3.7,4.5,4.6
Bhutan,BTN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,12.4,12.2,11.1,11.6,11.4
Botswana,BWA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,11.8,12.6,11.1,9.7,9.3
Central African Republic,CAF,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,8.8,8.8,9.5,8.1,7.7
Canada,CAN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,13.0,13.2,13.0,12.5,12.5
Central Europe and the Baltics,CEB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,19.7,18.2,18.1,15.6,15.2
Switzerland,CHE,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,21.8,20.8,16.2,17.1,17.2
Chile,CHL,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,10.9,10.6,12.2,10.9,10.6
China,CHN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,13.2,11.7,10.9,9.6,9.7
Cote d'Ivoire,CIV,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,9.5,11.2,12.7,14.4,14.5
Cameroon,CMR,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,13.3,11.9,11.7,12.3,12.2
"Congo, Dem. Rep.",COD,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.6,6.1,5.5,5.6,5.7
"Congo, Rep.",COG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,10.0,9.1,7.4,6.1,5.9
Colombia,COL,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,7.6,6.7,7.2,8.3,7.2
Comoros,COM,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.1,6.5,6.6,6.8,6.8
Cabo Verde,CPV,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,9.4,10.1,11.1,11.0,11.3
Costa Rica,CRI,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,7.3,7.9,8.6,7.9,7.9
Caribbean small states,CSS,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,9.1,8.7,9.3,9.1,9.1
Cuba,CUB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,17.4,13.0,14.4,13.7,13.9
Cyprus,CYP,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.2,2.6,5.7,4.9,5.3
Czech Republic,CZE,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,17.0,16.5,15.4,13.7,13.1
Germany,DEU,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,14.7,13.6,13.7,13.8,13.6
Djibouti,DJI,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.8,5.9,5.2,6.4,6.7
Denmark,DNK,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,16.0,16.2,12.7,11.9,12.8
Dominican Republic,DOM,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,9.1,8.2,8.0,9.7,9.9
Algeria,DZA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.1,3.8,3.3,3.2,3.2
East Asia & Pacific (excluding high income),EAP,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,11.1,9.9,9.3,8.4,8.5
Early-demographic dividend,EAR,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,10.9,10.9,10.2,10.1,9.9
East Asia & Pacific,EAS,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,12.1,11.2,10.8,9.5,9.5
Europe & Central Asia (excluding high income),ECA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,30.8,29.6,23.8,19.3,18.6
Europe & Central Asia,ECS,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,22.0,20.9,18.0,15.8,15.5
Ecuador,ECU,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.1,8.9,8.5,9.6,7.1
