 Country,Sex,2016,2015,2010,,2000
Brunei Darussalam,Both sexes,4.5,4.5,4,,3.7
Brunei Darussalam,Male,6.2,6.1,5.6,,5.1
Brunei Darussalam,Female,2.8,2.8,2.3,,2.2
Cambodia,Both sexes,5.9,5.9,6.3,,7.3
Cambodia,Male,9,9,9.4,,10.6
Cambodia,Female,3.2,3.2,3.6,,4.5
Indonesia,Both sexes,3.7,3.7,4,,4.3
Indonesia,Male,5.2,5.3,5.6,,5.9
Indonesia,Female,2.2,2.2,2.4,,2.7
Lao People's Democratic Republic,Both sexes,9.3,9.3,9.9,,12.4
Lao People's Democratic Republic,Male,12.9,12.8,13.5,,16.8
Lao People's Democratic Republic,Female,6.1,6.1,6.6,,8.2
Malaysia,Both sexes,6.2,6.1,6.3,,7.4
Malaysia,Male,8.7,8.7,9,,10.4
Malaysia,Female,3.6,3.6,3.6,,4.4
Philippines,Both sexes,3.7,3.8,4,,3.1
Philippines,Male,5.2,5.4,5.7,,4.5
Philippines,Female,2.3,2.3,2.3,,1.8
Singapore,Both sexes,7.9,7.6,8.4,,11.7
Singapore,Male,11.1,10.2,11.1,,15.5
Singapore,Female,4.9,5.2,6,,8.1
Thailand,Both sexes,12.9,13.1,13,,15.9
Thailand,Male,21.4,21.7,21,,23.7
Thailand,Female,4.8,4.9,5.5,,8.3
Viet Nam,Both sexes,7,7,7.1,,7.5
Viet Nam,Male,10.8,10.9,11,,11.5
Viet Nam,Female,3.4,3.5,3.5,,3.9
